relation_id	formula	shift	permutation_sha256	cycle_structure_sha256	pair_distance_histogram_sha256	cache_set_histogram_sha256
relation_r0	B_index = (A_index + 1) mod 4096	1	2a4aaf6b2a35b3afadf691ef96b7ec6098cd8da1d2cb1f9ac3b0575c2d842a0c	ea525d40c2924208604b75acf78ccb35852bc1482f0887b04e8feafb7c002fb9	a8fdd4718adf92b34415cf6eb34ddc8d178253e9ef5af9022178849a26e27469	106ccbc049129975331e8601251beb56aa4044708da85ec1b853924e63921413
relation_r1	B_index = (A_index - 1) mod 4096	-1	f5a6835d06857e26c302655c80d7abd956b1742e6d799d71ec3e0d69cb1e47bf	ea525d40c2924208604b75acf78ccb35852bc1482f0887b04e8feafb7c002fb9	a8fdd4718adf92b34415cf6eb34ddc8d178253e9ef5af9022178849a26e27469	106ccbc049129975331e8601251beb56aa4044708da85ec1b853924e63921413
