basis,distance,rounds,physical_error_rate,shots,seed,noise_model,logical_error_count,logical_error_rate,logical_error_rate_laplace,survival,suppression_R,log_suppression,E_v2,grad_S_v2,sigma_v2,Df,formula_score_v2,formula_log_score_v2,log_E_over_grad_S,Df_ln_sigma,p_threshold,below_threshold,E_v1,grad_S_v1,sigma_v1,formula_score_v1,formula_log_score_v1,syndrome_density,num_detectors,num_observables,duration_seconds
z,7,7,0.002,20000,2647836320,meas,0,0.0,2.4998750062496874e-05,1.0,80.004,4.382076633423924,0.998,0.282842712474619,1.880301546543197,7.0,293.20952241407986,5.680887447022902,1.2608623194834545,4.420025127539447,0.007071067811865475,True,1.0,0.020814071335501033,6.931408277783559,36931192.05930371,17.424567065194978,0.026535863095238095,336,1,0.13961160000326345
z,7,7,0.004,20000,2773987471,meas,9,0.00045,0.00047497625118744064,0.99955,8.421473684210527,2.1307848348174283,0.996,0.565685424949238,1.3295739742362471,7.0,12.932184358782246,2.5597191157762818,0.5657091201966437,1.9940099955796384,0.007071067811865475,True,1.0,0.037622360322278434,5.155573476632125,2573314.260667088,14.760705221647516,0.051716815476190475,336,1,0.22195889999784413
z,7,7,0.006,20000,750271358,meas,47,0.00235,0.002374881255937203,0.99765,2.526442105263158,0.9268120304914922,0.994,0.848528137423857,1.0855926040543844,7.0,2.081556806385144,0.7331160783615187,0.15823396116045502,0.5748821172010637,0.007071067811865475,True,1.0,0.05291508034484766,4.347206496204173,554488.355902956,13.225801086278773,0.0760328869047619,336,1,0.30122470000060275
z,7,7,0.008,20000,3851988216,meas,168,0.0084,0.008424578771061448,0.9916,0.9496023738872403,-0.05171193580854785,0.992,1.131370849898476,0.9401507732715985,7.0,0.5692319135042884,-0.5634673470431968,-0.13146221066302716,-0.43200513638016963,0.007071067811865475,False,1.0,0.06722154475830686,3.8569655144504904,188891.2333398761,12.148926643412544,0.09909940476190476,336,1,0.36569130000134464
z,7,7,0.01,20000,2375414719,meas,338,0.0169,0.016924153792310385,0.9831,0.5908714918759231,-0.5261567270542514,0.99,1.4142135623730951,0.8408964152537146,7.0,0.20812186277529443,-1.569631492113378,-0.3566239261334742,-1.2130075659799036,0.007071067811865475,False,1.0,0.08079313589591118,3.5181371628382068,82568.59734577357,11.321384709811374,0.12066845238095238,336,1,0.43824749999839696
z,7,7,0.02,20000,212198685,meas,3445,0.17225,0.17226638668066596,0.82775,0.1160992599042229,-2.1533097649392388,0.98,2.8284271247461903,0.5946035575013605,7.0,0.009104866974239581,-4.6989461760971505,-1.0599234781574374,-3.6390226979397133,0.007071067811865475,False,1.0,0.14144054254182067,2.6589675866340143,6643.812830646267,8.80144129915128,0.21576622023809525,336,1,1.0962916999997105
z,7,7,0.04,20000,4099195411,meas,9460,0.473,0.47300134993250337,0.527,0.08456635484382433,-2.4702187883538467,0.96,5.656854249492381,0.4204482076268573,7.0,0.00039417019465017884,-7.838727775819639,-1.7736899459201185,-6.065037829899521,0.007071067811865475,False,1.0,0.24229218908241482,2.0315629930625523,589.4848365351614,6.37924899705993,0.34668095238095237,336,1,2.231639499997982
z,9,9,0.0005,20000,3249757381,meas,0,0.0,2.4998750062496874e-05,1.0,20.001,2.995782272304033,0.9995,0.07071067811865475,3.760603093086394,9.0,2126254.699598608,14.569872632965419,2.648658558232336,11.921214074733083,0.007071067811865475,True,1.0,0.006204059295831671,12.695857231665633,1381281929323.624,27.954033118197696,0.006824305555555556,720,1,0.1560222000007343
z,9,9,0.001,20000,2148322258,meas,0,0.0,2.4998750062496874e-05,1.0,40.002,3.688929452863978,0.999,0.1414213562373095,2.6591479484724942,9.0,46960.531124916335,10.757062764593819,1.9550110023804896,8.802051762213328,0.007071067811865475,True,1.0,0.011407757737461138,9.362672992727516,48461673459.144775,24.604039084531465,0.013488888888888889,720,1,0.19153089999963413
z,9,9,0.002,20000,640075255,meas,0,0.0,2.4998750062496874e-05,1.0,80.004,4.382076633423924,0.998,0.282842712474619,1.880301546543197,9.0,1036.6522080373247,6.94375176917703,1.2608623194834545,5.682889449693575,0.007071067811865475,True,1.0,0.020814071335501033,6.931408277783559,1774337728.7418482,21.29669307968275,0.02676923611111111,720,1,0.2559064999986731
z,9,9,0.004,20000,65482418,meas,3,0.00015,0.00017499125043747812,0.99985,22.858285714285717,3.1293136649285556,0.996,0.565685424949238,1.3295739742362471,9.0,22.861088139123826,3.129436257370464,0.5657091201966437,2.563727137173821,0.007071067811865475,True,1.0,0.037622360322278434,5.155573476632125,68398533.1761143,18.040861937569186,0.052126597222222223,720,1,0.416885499998898
z,9,9,0.006,20000,3724676282,meas,17,0.00085,0.0008749562521873906,0.99915,6.857485714285715,1.9253408606026194,0.994,0.848528137423857,1.0855926040543844,9.0,2.4531382220332483,0.897368111847537,0.15823396116045502,0.739134150687082,0.007071067811865475,True,1.0,0.05291508034484766,4.347206496204173,10478834.24326968,16.16486799434072,0.07644361111111111,720,1,0.5275050000018382
z,9,9,0.008,20000,1340844166,meas,78,0.0039,0.0039248037598120095,0.9961,2.0383184713375795,0.7121251891955058,0.992,1.131370849898476,0.9401507732715985,9.0,0.5031346826333458,-0.6868973860089596,-0.13146221066302716,-0.5554351753459323,0.007071067811865475,False,1.0,0.06722154475830686,3.8569655144504904,2809980.550417714,14.848688119726441,0.09950555555555556,720,1,0.8336825999977009
z,9,9,0.01,20000,3383932975,meas,193,0.00965,0.009674516274186291,0.99035,1.033643410852713,0.03308985282824172,0.99,1.4142135623730951,0.8408964152537146,9.0,0.1471643804815868,-1.9162050823933505,-0.3566239261334742,-1.5595811562598763,0.007071067811865475,False,1.0,0.08079313589591118,3.5181371628382068,1021975.3996447144,13.837247978658345,0.12169166666666667,720,1,1.0562100000024657
