trial,mode,cand_label,cand_value,lockin_I,lockin_Q,lockin_mag,temp_c,route
35,no_sender,c0,0,0.000695417,-0.000202160,0.003024836,46.0,4:5
35,no_sender,c1,0,-0.000114276,-0.000202160,0.000232223,46.0,4:5
36,no_sender,c0,0,-0.038071237,0.000306122,0.052627898,45.5,4:5
36,no_sender,c1,0,-0.000041604,0.000306122,0.000308936,45.5,4:5
37,no_sender,c0,0,0.000269321,0.001380769,0.000303413,45.6,4:5
37,no_sender,c1,0,-0.000531889,0.001380769,0.001479672,45.6,4:5
38,no_sender,c0,0,-0.000767595,-0.031805704,0.004705020,45.5,4:5
38,no_sender,c1,0,-0.027684762,-0.031805704,0.042166917,45.5,4:5
39,no_sender,c0,0,0.000271038,0.014809278,0.000341194,45.5,4:5
39,no_sender,c1,0,-0.004125426,0.014809278,0.015373154,45.5,4:5
40,no_sender,c0,0,0.000020059,-0.000516696,0.000307082,45.5,4:5
40,no_sender,c1,0,0.000500832,-0.000516696,0.000719589,45.5,4:5
41,no_sender,c0,0,0.026259717,-0.000119174,0.045821859,45.5,4:5
41,no_sender,c1,0,-0.000004955,-0.000119174,0.000119277,45.5,4:5
0,public,c0,71,0.061114578,-0.259428244,0.266529558,45.0,4:5
0,public,c1,185,0.044587805,-0.223413620,0.227819485,45.0,4:5
1,public,c0,119,0.093726386,-0.203226517,0.223798241,45.0,4:5
1,public,c1,137,0.094144310,-0.228730573,0.247347582,45.0,4:5
2,public,c0,37,0.075348334,-0.261994131,0.272613822,45.0,4:5
2,public,c1,219,0.081177913,-0.184847032,0.201886797,45.0,4:5
3,public,c0,90,0.049209279,-0.220013541,0.225449576,45.0,4:5
3,public,c1,166,0.067212871,-0.225521937,0.235324700,45.0,4:5
4,public,c0,108,0.042996375,-0.196109389,0.200767480,44.5,4:5
4,public,c1,148,0.069487188,-0.212390786,0.223468824,44.5,4:5
5,public,c0,111,0.035779537,-0.232541193,0.235277669,44.5,4:5
5,public,c1,145,0.076746334,-0.227425631,0.240025868,44.5,4:5
6,public,c0,44,0.086275663,-0.261221267,0.275100056,44.5,4:5
6,public,c1,212,0.070315867,-0.269301284,0.278329845,44.5,4:5
7,public,c0,68,0.093840382,-0.237818447,0.255663120,44.5,4:5
7,public,c1,188,0.079570761,-0.237400635,0.250380845,44.5,4:5
8,public,c0,34,0.063561996,-0.201011353,0.210821468,44.5,4:5
8,public,c1,222,0.009643531,-0.240993615,0.241186484,44.5,4:5
9,public,c0,123,0.060153544,-0.252212730,0.259286926,44.5,4:5
9,public,c1,133,0.051951396,-0.241351638,0.246879649,44.5,4:5
10,public,c0,60,0.102147939,-0.244013278,0.264531059,44.5,4:5
10,public,c1,196,0.095112700,-0.229003168,0.247969507,44.5,4:5
11,public,c0,46,0.120899831,-0.262586529,0.289082089,44.6,4:5
11,public,c1,210,0.074883140,-0.231488422,0.243298940,44.6,4:5
12,public,c0,81,0.051333753,-0.258926258,0.263965834,44.8,4:5
12,public,c1,175,0.105071907,-0.219654966,0.243492114,44.8,4:5
13,public,c0,76,0.062612605,-0.201847795,0.211335919,44.9,4:5
13,public,c1,180,0.063614676,-0.155226771,0.167756304,44.9,4:5
14,public,c0,123,0.084197304,-0.202602808,0.219401650,44.9,4:5
14,public,c1,133,0.073276843,-0.232107212,0.243399371,44.9,4:5
15,public,c0,89,0.099017612,-0.224584288,0.245443660,45.0,4:5
15,public,c1,167,0.077179140,-0.236546032,0.248818498,45.0,4:5
16,public,c0,63,0.005489008,-0.243817348,0.243879126,45.0,4:5
16,public,c1,193,0.084834507,-0.217917069,0.233847691,45.0,4:5
17,public,c0,1,0.078651168,-0.247605899,0.259797397,44.8,4:5
17,public,c1,255,0.053906589,-0.181340966,0.189183684,44.8,4:5
18,public,c0,60,0.065048165,-0.230605486,0.239604161,44.5,4:5
18,public,c1,196,0.085080994,-0.283705462,0.296188394,44.5,4:5
19,public,c0,51,0.085888756,-0.240175203,0.255070591,44.6,4:5
19,public,c1,205,0.063043097,-0.276403248,0.283501654,44.6,4:5
20,public,c0,109,0.074038418,-0.271128810,0.281056078,44.5,4:5
20,public,c1,147,0.090760802,-0.213913879,0.232371838,44.5,4:5
21,public,c0,39,0.098345365,-0.232040630,0.252021159,44.9,4:5
21,public,c1,217,0.045642077,-0.209992984,0.214895911,44.9,4:5
22,public,c0,65,0.058318195,-0.231568086,0.238798639,44.9,4:5
22,public,c1,191,0.075806398,-0.196169601,0.210307209,44.9,4:5
23,public,c0,6,0.083031917,-0.223683286,0.238596965,44.5,4:5
23,public,c1,250,0.067025413,-0.230999986,0.240527336,44.5,4:5
24,public,c0,33,0.096980275,-0.248991215,0.267211151,45.0,4:5
