relation_id	formula	shift	permutation_sha256	cycle_structure_sha256	pair_distance_histogram_sha256	logical_line_histogram_sha256	virtual_offset_histogram_sha256	actual_cache_index_status
relation_r0	B_index = (A_index + 1) mod 4096	1	2a4aaf6b2a35b3afadf691ef96b7ec6098cd8da1d2cb1f9ac3b0575c2d842a0c	ea525d40c2924208604b75acf78ccb35852bc1482f0887b04e8feafb7c002fb9	a8fdd4718adf92b34415cf6eb34ddc8d178253e9ef5af9022178849a26e27469	cff9412b536b4b163928c652db0827a5541092dd88e0f60adcc3a0877ee779be	3bed852658892707a63af1833954e40112bf5aed7e438f889b05f27c7185139d	unresolved_until_authorized_target_preflight
relation_r1	B_index = (A_index - 1) mod 4096	-1	f5a6835d06857e26c302655c80d7abd956b1742e6d799d71ec3e0d69cb1e47bf	ea525d40c2924208604b75acf78ccb35852bc1482f0887b04e8feafb7c002fb9	a8fdd4718adf92b34415cf6eb34ddc8d178253e9ef5af9022178849a26e27469	cff9412b536b4b163928c652db0827a5541092dd88e0f60adcc3a0877ee779be	3bed852658892707a63af1833954e40112bf5aed7e438f889b05f27c7185139d	unresolved_until_authorized_target_preflight
