relation_id	shift	permutation_sha256	pair_distance_histogram_sha256
relation_r0	1	2a4aaf6b2a35b3afadf691ef96b7ec6098cd8da1d2cb1f9ac3b0575c2d842a0c	a8fdd4718adf92b34415cf6eb34ddc8d178253e9ef5af9022178849a26e27469
relation_r1	-1	f5a6835d06857e26c302655c80d7abd956b1742e6d799d71ec3e0d69cb1e47bf	a8fdd4718adf92b34415cf6eb34ddc8d178253e9ef5af9022178849a26e27469
