0	0	0	0	7	0	1	1	0	0
0	0	1	1	7	0	0	1	0	0
0	1	0	2	7	-1024	1	1	0	0
0	1	1	3	7	-1024	0	1	0	0
0	2	0	4	1	1536	0	0	0	1
0	2	1	5	1	1536	1	0	0	1
0	3	0	6	5	1536	0	0	0	1
0	3	1	7	5	1536	1	0	0	1
0	4	0	8	7	1024	1	1	0	0
0	4	1	9	7	1024	0	1	0	0
0	5	0	10	1	1024	1	1	0	1
0	5	1	11	1	1024	0	1	0	1
0	6	0	12	2	-1024	0	0	1	0
0	6	1	13	2	-1024	1	0	1	0
0	7	0	14	0	1024	0	0	1	1
0	7	1	15	0	1024	1	0	1	1
0	8	0	16	0	0	0	0	1	1
0	8	1	17	0	0	1	0	1	1
0	9	0	18	5	1024	1	1	0	1
0	9	1	19	5	1024	0	1	0	1
0	10	0	20	6	512	1	1	1	0
0	10	1	21	6	512	0	1	1	0
0	11	0	22	7	-1536	0	0	0	0
0	11	1	23	7	-1536	1	0	0	0
0	12	0	24	3	512	0	0	0	0
0	12	1	25	3	512	1	0	0	0
0	13	0	26	4	0	0	0	1	1
0	13	1	27	4	0	1	0	1	1
0	14	0	28	5	0	1	1	0	1
0	14	1	29	5	0	0	1	0	1
0	15	0	30	7	-512	0	0	0	0
0	15	1	31	7	-512	1	0	0	0
0	16	0	32	3	-1536	0	0	0	0
0	16	1	33	3	-1536	1	0	0	0
0	17	0	34	3	1024	1	1	0	0
0	17	1	35	3	1024	0	1	0	0
0	18	0	36	0	1536	1	1	1	1
0	18	1	37	0	1536	0	1	1	1
0	19	0	38	2	-1536	1	1	1	0
0	19	1	39	2	-1536	0	1	1	0
0	20	0	40	6	0	0	0	1	0
0	20	1	41	6	0	1	0	1	0
0	21	0	42	0	-1024	0	0	1	1
0	21	1	43	0	-1024	1	0	1	1
0	22	0	44	2	0	0	0	1	0
0	22	1	45	2	0	1	0	1	0
0	23	0	46	4	1536	1	1	1	1
0	23	1	47	4	1536	0	1	1	1
0	24	0	48	3	1536	0	0	0	0
0	24	1	49	3	1536	1	0	0	0
0	25	0	50	0	-512	1	1	1	1
0	25	1	51	0	-512	0	1	1	1
0	26	0	52	3	-1024	1	1	0	0
0	26	1	53	3	-1024	0	1	0	0
0	27	0	54	4	512	1	1	1	1
0	27	1	55	4	512	0	1	1	1
0	28	0	56	2	512	1	1	1	0
0	28	1	57	2	512	0	1	1	0
0	29	0	58	5	-512	0	0	0	1
0	29	1	59	5	-512	1	0	0	1
0	30	0	60	1	-1024	1	1	0	1
0	30	1	61	1	-1024	0	1	0	1
0	31	0	62	7	512	0	0	0	0
